BIN_INDEX, BIN_FROM, BIN_TO, INTERPOLATION, INTERVAL_TYPE
432,  43.100, 43.200, 43.150, 1202
433,  43.200, 43.300, 43.250, 1202
434,  43.300, 43.400, 43.350, 1202
435,  43.400, 43.500, 43.450, 1202
436,  43.500, 43.600, 43.550, 1202
437,  43.600, 43.700, 43.650, 1202
438,  43.700, 43.800, 43.750, 1202
439,  43.800, 43.900, 43.850, 1202
440,  43.900, 44.000, 43.950, 1202
441,  44.000, 44.100, 44.050, 1202
442,  44.100, 44.200, 44.150, 1202
443,  44.200, 44.300, 44.250, 1202
444,  44.300, 44.400, 44.350, 1202
445,  44.400, 44.500, 44.450, 1202
446,  44.500, 44.600, 44.550, 1202
447,  44.600, 44.700, 44.650, 1202
448,  44.700, 44.800, 44.750, 1202
449,  44.800, 44.900, 44.850, 1202
450,  44.900, 45.000, 44.950, 1202
451,  45.000, 45.100, 45.050, 1202
452,  45.100, 45.200, 45.150, 1202
453,  45.200, 45.300, 45.250, 1202
454,  45.300, 45.400, 45.350, 1202
455,  45.400, 45.500, 45.450, 1202
456,  45.500, 45.600, 45.550, 1202
457,  45.600, 45.700, 45.650, 1202
458,  45.700, 45.800, 45.750, 1202
459,  45.800, 45.900, 45.850, 1202
460,  45.900, 46.000, 45.950, 1202
461,  46.000, 46.100, 46.050, 1202
462,  46.100, 46.200, 46.150, 1202
463,  46.200, 46.300, 46.250, 1202
464,  46.300, 46.400, 46.350, 1202
465,  46.400, 46.500, 46.450, 1202
466,  46.500, 46.600, 46.550, 1202
467,  46.600, 46.700, 46.650, 1202
468,  46.700, 46.800, 46.750, 1202
469,  46.800, 46.900, 46.850, 1202
470,  46.900, 47.000, 46.950, 1202
471,  47.000, 47.100, 47.050, 1202
472,  47.100, 47.200, 47.150, 1202
473,  47.200, 47.300, 47.250, 1202
474,  47.300, 47.400, 47.350, 1202
475,  47.400, 47.500, 47.450, 1202
476,  47.500, 47.600, 47.550, 1202
477,  47.600, 47.700, 47.650, 1202
478,  47.700, 47.800, 47.750, 1202
479,  47.800, 47.900, 47.850, 1202
480,  47.900, 48.000, 47.950, 1202
481,  48.000, 48.100, 48.050, 1202
482,  48.100, 48.200, 48.150, 1202
483,  48.200, 48.300, 48.250, 1202
484,  48.300, 48.400, 48.350, 1202
485,  48.400, 48.500, 48.450, 1202
486,  48.500, 48.600, 48.550, 1202
487,  48.600, 48.700, 48.650, 1202
488,  48.700, 48.800, 48.750, 1202
489,  48.800, 48.900, 48.850, 1202
490,  48.900, 49.000, 48.950, 1202
491,  49.000, 49.100, 49.050, 1202
492,  49.100, 49.200, 49.150, 1202
493,  49.200, 49.300, 49.250, 1202
494,  49.300, 49.400, 49.350, 1202
495,  49.400, 49.500, 49.450, 1202
496,  49.500, 49.600, 49.550, 1202
497,  49.600, 49.700, 49.650, 1202
498,  49.700, 49.800, 49.750, 1202
499,  49.800, 49.900, 49.850, 1202
500,  49.900, 50.000, 49.950, 1202
501,  50.000, 50.100, 50.050, 1202
502,  50.100, 50.200, 50.150, 1202
503,  50.200, 50.300, 50.250, 1202
504,  50.300, 50.400, 50.350, 1202
505,  50.400, 50.500, 50.450, 1202
506,  50.500, 50.600, 50.550, 1202
507,  50.600, 50.700, 50.650, 1202
508,  50.700, 50.800, 50.750, 1202
509,  50.800, 50.900, 50.850, 1202
510,  50.900, 51.000, 50.950, 1202
511,  51.000, 51.100, 51.050, 1202
512,  51.100, 51.200, 51.150, 1202
513,  51.200, 51.300, 51.250, 1202
514,  51.300, 51.400, 51.350, 1202
515,  51.400, 51.500, 51.450, 1202
516,  51.500, 51.600, 51.550, 1202
517,  51.600, 51.700, 51.650, 1202
518,  51.700, 51.800, 51.750, 1202
519,  51.800, 51.900, 51.850, 1202
520,  51.900, 52.000, 51.950, 1202
521,  52.000, 52.100, 52.050, 1202
522,  52.100, 52.200, 52.150, 1202
523,  52.200, 52.300, 52.250, 1202
524,  52.300, 52.400, 52.350, 1202
525,  52.400, 52.500, 52.450, 1202
526,  52.500, 52.600, 52.550, 1202
527,  52.600, 52.700, 52.650, 1202
528,  52.700, 52.800, 52.750, 1202
529,  52.800, 52.900, 52.850, 1202
530,  52.900, 53.000, 52.950, 1202
531,  53.000, 53.100, 53.050, 1202
532,  53.100, 53.200, 53.150, 1202
533,  53.200, 53.300, 53.250, 1202
534,  53.300, 53.400, 53.350, 1202
535,  53.400, 53.500, 53.450, 1202
536,  53.500, 53.600, 53.550, 1202
537,  53.600, 53.700, 53.650, 1202
538,  53.700, 53.800, 53.750, 1202
539,  53.800, 53.900, 53.850, 1202
540,  53.900, 54.000, 53.950, 1202
541,  54.000, 54.100, 54.050, 1202
542,  54.100, 54.200, 54.150, 1202
543,  54.200, 54.300, 54.250, 1202
544,  54.300, 54.400, 54.350, 1202
545,  54.400, 54.500, 54.450, 1202
546,  54.500, 54.600, 54.550, 1202
547,  54.600, 54.700, 54.650, 1202
548,  54.700, 54.800, 54.750, 1202
549,  54.800, 54.900, 54.850, 1202
550,  54.900, 55.000, 54.950, 1202
551,  55.000, 55.100, 55.050, 1202
552,  55.100, 55.200, 55.150, 1202
553,  55.200, 55.300, 55.250, 1202
554,  55.300, 55.400, 55.350, 1202
555,  55.400, 55.500, 55.450, 1202
556,  55.500, 55.600, 55.550, 1202
557,  55.600, 55.700, 55.650, 1202
558,  55.700, 55.800, 55.750, 1202
559,  55.800, 55.900, 55.850, 1202
560,  55.900, 56.000, 55.950, 1202
561,  56.000, 56.100, 56.050, 1202
562,  56.100, 56.200, 56.150, 1202
563,  56.200, 56.300, 56.250, 1202
564,  56.300, 56.400, 56.350, 1202
565,  56.400, 56.500, 56.450, 1202
566,  56.500, 56.600, 56.550, 1202
567,  56.600, 56.700, 56.650, 1202
568,  56.700, 56.800, 56.750, 1202
569,  56.800, 56.900, 56.850, 1202
570,  56.900, 57.000, 56.950, 1202
571,  57.000, 57.100, 57.050, 1202
572,  57.100, 57.200, 57.150, 1202
573,  57.200, 57.300, 57.250, 1202
574,  57.300, 57.400, 57.350, 1202
575,  57.400, 57.500, 57.450, 1202
576,  57.500, 57.600, 57.550, 1202
577,  57.600, 57.700, 57.650, 1202
578,  57.700, 57.800, 57.750, 1202
579,  57.800, 57.900, 57.850, 1202
580,  57.900, 58.000, 57.950, 1202
581,  58.000, 58.100, 58.050, 1202
582,  58.100, 58.200, 58.150, 1202
583,  58.200, 58.300, 58.250, 1202
584,  58.300, 58.400, 58.350, 1202
585,  58.400, 58.500, 58.450, 1202
586,  58.500, 58.600, 58.550, 1202
587,  58.600, 58.700, 58.650, 1202
588,  58.700, 58.800, 58.750, 1202
589,  58.800, 58.900, 58.850, 1202
590,  58.900, 59.000, 58.950, 1202
591,  59.000, 59.100, 59.050, 1202
592,  59.100, 59.200, 59.150, 1202
593,  59.200, 59.300, 59.250, 1202
594,  59.300, 59.400, 59.350, 1202
595,  59.400, 59.500, 59.450, 1202
596,  59.500, 59.600, 59.550, 1202
597,  59.600, 59.700, 59.650, 1202
598,  59.700, 59.800, 59.750, 1202
599,  59.800, 59.900, 59.850, 1202
600,  59.900, 60.000, 59.950, 1202
601,  60.000, 60.100, 60.050, 1202
602,  60.100, 60.200, 60.150, 1202
603,  60.200, 60.300, 60.250, 1202
604,  60.300, 60.400, 60.350, 1202
605,  60.400, 60.500, 60.450, 1202
606,  60.500, 60.600, 60.550, 1202
607,  60.600, 60.700, 60.650, 1202
608,  60.700, 60.800, 60.750, 1202
609,  60.800, 60.900, 60.850, 1202
610,  60.900, 61.000, 60.950, 1202
611,  61.000, 61.100, 61.050, 1202
612,  61.100, 61.200, 61.150, 1202
613,  61.200, 61.300, 61.250, 1202
614,  61.300, 61.400, 61.350, 1202
615,  61.400, 61.500, 61.450, 1202
616,  61.500, 61.600, 61.550, 1202
617,  61.600, 61.700, 61.650, 1202
618,  61.700, 61.800, 61.750, 1202
619,  61.800, 61.900, 61.850, 1202
620,  61.900, 62.000, 61.950, 1202
621,  62.000, 62.100, 62.050, 1202
622,  62.100, 62.200, 62.150, 1202
623,  62.200, 62.300, 62.250, 1202
624,  62.300, 62.400, 62.350, 1202
625,  62.400, 62.500, 62.450, 1202
626,  62.500, 62.600, 62.550, 1202
627,  62.600, 62.700, 62.650, 1202
628,  62.700, 62.800, 62.750, 1202
629,  62.800, 62.900, 62.850, 1202
630,  62.900, 63.000, 62.950, 1202
631,  63.000, 63.100, 63.050, 1202
632,  63.100, 63.200, 63.150, 1202
633,  63.200, 63.300, 63.250, 1202
634,  63.300, 63.400, 63.350, 1202
635,  63.400, 63.500, 63.450, 1202
636,  63.500, 63.600, 63.550, 1202
637,  63.600, 63.700, 63.650, 1202
638,  63.700, 63.800, 63.750, 1202
639,  63.800, 63.900, 63.850, 1202
640,  63.900, 64.000, 63.950, 1202
641,  64.000, 64.100, 64.050, 1202
642,  64.100, 64.200, 64.150, 1202
643,  64.200, 64.300, 64.250, 1202
644,  64.300, 64.400, 64.350, 1202
645,  64.400, 64.500, 64.450, 1202
646,  64.500, 64.600, 64.550, 1202
647,  64.600, 64.700, 64.650, 1202
648,  64.700, 64.800, 64.750, 1202
649,  64.800, 64.900, 64.850, 1202
650,  64.900, 65.000, 64.950, 1202
651,  65.000, 65.100, 65.050, 1202
652,  65.100, 65.200, 65.150, 1202
653,  65.200, 65.300, 65.250, 1202
654,  65.300, 65.400, 65.350, 1202
655,  65.400, 65.500, 65.450, 1202
