event_id,period_no,occ_date_id
15706,152,4182233
15715,152,5042236
15721,152,5170422
15755,152,8231415
15787,152,12272254
15793,153,1151506
15808,153,3191236
15833,153,6121444
15852,153,8201619
15856,153,9231910
15877,153,12031434
15878,153,12041630
15920,154,6031623
15923,154,6091303
15934,154,7080929
15974,154,12030659
15988,155,1191939
15999,155,2281010
16017,155,4282208
16080,155,12132201
16097,156,2112244
16115,156,3210759
16158,156,8251200
16162,156,9040940
16165,156,9121247
16187,156,11200501
16189,156,11260233
16193,156,12101513
16201,157,1110428
16208,157,2020543
16219,157,4070751
16246,157,8040942
16248,157,8191201
16260,157,10290233
16291,158,1270843
16322,158,4072006
16357,158,7200957
16361,158,8032047
16435,159,3200743
16457,159,6210015
16474,159,9050103
16494,159,11190533
16503,159,12281948
16522,160,2192015
16531,160,3211804
16533,160,3281731
16545,160,5120724
16548,160,5251737
16550,160,5311441
16568,160,7301246
16571,160,8022335
16583,160,10010335
16585,160,10081743
16593,160,11161242
16599,160,12130203
16623,161,3060112
16631,161,4101827
16638,161,4231455
16650,161,6080152
16655,161,7102305
16662,161,8012050
16682,161,10100237
16712,162,1230609
16720,162,2100036
16728,162,3110846
16747,162,5010441
16813,162,11161320
16836,163,1221257
16848,163,3131033
16851,163,3270453
16865,163,5070641
16876,163,6191600
16897,163,8111201
16916,163,9221741
16933,163,12031132
16970,164,3251234
16971,164,3290425
16982,164,5030843
16992,164,6092351
17052,164,12120119
17068,165,2261533
17102,165,7121301
17107,165,8032007
17111,165,8150016
17134,165,11021315
17145,165,12200844
17177,166,4260325
17191,166,6061104
17192,166,6080601
17195,166,6160037
17222,166,8230333
17232,166,10230739
17234,166,10250533
17241,166,11160737
17242,166,11180635
17253,167,1200331
17265,167,3061041
17299,167,6051607
17319,167,8080831
17327,167,9160530
17335,167,10281431
17338,167,11012200
17388,168,5250643
17389,168,5311631
17415,168,8152334
17418,168,8231402
17437,168,10230927
17438,168,10310935
17453,168,12240442
17457,168,12281924
17462,169,1120355
17474,169,2280842
17481,169,4121925
17515,169,8300102
17521,169,9190714
17546,169,12021433
17554,170,1110358
17555,170,1140422
17613,170,8010232
17626,170,9152220
17642,170,10141135
17646,170,10180021
17660,170,11090108
17700,171,4292012
17712,171,5310341
17715,171,6120450
17748,171,11052040
17755,171,12091851
17769,172,1290854
17770,172,1302214
17776,172,2242144
17778,172,3031833
17783,172,3240610
17829,172,9121828
17847,172,11041414
17864,173,1131153
17867,173,2021330
17868,173,2121916
17921,173,8040738
17922,173,8121554
17942,173,10202147
18006,174,6080423
18035,174,9121054
18039,174,10161315
18054,174,11251252
18058,174,12011434
18116,175,6092310
18145,175,9070055
18148,175,10020240
18158,175,10180627
18193,176,2190037
18203,176,4050029
18207,176,4291326
18241,176,9110219
18274,177,2051321
18304,177,5221907
18350,177,12222329
18359,178,1062257
18363,178,1180725
18364,178,1202144
18419,178,7111159
18428,178,8140111
18442,178,10141726
18475,179,2201707
18479,179,2241333
18484,179,3111022
18504,179,6041756
18527,179,9020323
18547,179,10311746
18548,179,10312358
18553,179,11091951
18573,179,12192210
18579,180,1130229
18645,180,10170929
18649,180,10221155
18674,181,2141521
18691,181,4031422
18700,181,4240107
18704,181,5041637
18715,181,5291024
18745,181,9271406
18766,181,11210832
18778,182,1231400
18790,182,3130949
18839,182,10081209
18848,182,11110716
18870,183,3131805
18871,183,3161854
18877,183,4041642
18883,183,5050122
18933,183,8161745
18979,184,2121112
18986,184,3021142
18993,184,3230743
18995,184,3311318
19013,184,5242058
19060,184,11201249
19074,185,1181607
19076,185,1191357
19123,185,6042106
19131,185,6211520
19135,185,7061213
19161,185,10260738
19172,185,12120658
19181,186,1011543
19217,186,5101108
19226,186,6151416
19278,187,2142202
19294,187,4151357
19327,187,7110619
19347,187,9180015
19353,187,9250636
19370,187,12120223
19395,188,2030902
19400,188,2171912
19410,188,3190737
19415,188,4200239
19442,188,7230308
19474,188,10161039
19479,188,10310305
19486,188,11281137
19498,189,1180002
19509,189,2082126
19529,189,4171445
19548,189,6092051
19556,189,7020530
19557,189,7062150
19563,189,7261611
19570,189,8200529
19604,190,1181807
19623,190,4030512
19669,190,10241424
19699,191,1190346
19727,191,4101553
19740,191,5132243
19750,191,6152300
19772,191,8201552
19804,191,11260116
19824,192,1230641
19834,192,3152317
19852,192,6071219
19887,192,10090812
19888,192,10120625
19908,192,12152337
19943,193,4160601
19948,193,5211746
19953,193,6060549
19971,193,8061900
19973,193,8171644
20029,193,12160856
20041,194,1262006
20058,194,4151331
20061,194,4171828
20069,194,6032240
20076,194,7040939
20088,194,8092247
20092,194,8272257
20094,194,8311247
20114,194,11030713
20121,194,11250831
20125,194,12182327
20136,195,2040022
20144,195,2202331
20151,195,3151941
20168,195,4171923
20214,195,10072224
20225,195,11131450
20250,196,1191219
20254,196,1292241
20256,196,2031838
20262,196,3141254
20263,196,3170458
20279,196,5040713
20310,196,8040307
20327,196,10102003
20352,196,12072042
20364,197,1090518
20365,197,1090819
20375,197,2170835
20404,197,5181030
20411,197,6170348
20415,197,6300608
20422,197,7200542
20433,197,9091155
20444,197,10230318
20520,198,6122013
